route_index_global;name;zona_meteo;zone;difficulty;terreny;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
0;Agulla de Baiau;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;6.6km;1300m;N+SE;Edificis de Prats Sobirans, a 1.560 m;Agulla de Baiau;1560;2860
1;Alt del Cubil;zona_centre;Cortals d'Encamp;COMPLEX;EXIGENT;4.3km;746m;W+N;Carretera intermèdia del Funicamp, a 2.090 m (Carretera dels Cortals d’Encamp);Alt del Cubil, a 2834 m;2090;2834
2;Alt del Griu;zona_centre;Cortals d'Encamp;CHALLENGING;COMPLEX;7.7km;985m;W;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Alt del Griu, a 2841m;1887;2841
3;Avetar;zona_nord;El Tarter i Soldeu;COMPLEX;EXIGENT;3.6km;744m;N;Pàrquing del Tarter, a 1.710 m o pàrquing del Nòrdic, a 1.720 m.;Tosa dels Espiolets, a 2.467 m;1720;2467
4;Basses de les Salamandres;zona_nord;Entor;SIMPLE;SIMPLE;2.9km;412m;S+SE;Borda del Marticella, a 1.940m;Basses de les Salamandres, a 2.343m;1940;2343
5;Bony d'Envalira;zona_nord;Grau Roig;COMPLEX;EXIGENT;3.8km;674m;NW+SW+W;Aparcament de Grau Roig, a 2.100 m;Bony d'Envalira, a 2.684 m;2100;2684
6;Bony de la Pleta de Jan;zona_nord;Ransol;CHALLENGING;COMPLEX;3.3km;638m;S+SE;Final carretera, a 1.953m;Bony de la Pleta de Jan, a 2.525m;1953;2525
7;Bony de les Neres;zona_centre;Bony de les Neres;SIMPLE;SIMPLE;3.1km;232m;N;Pàrquing de la carretera del Coll d’Ordino, a 1.981 m;Bony de les Neres, a 2.209 m;1981;2209
8;Bosc de Soldeu;zona_nord;El Tarter i Soldeu;COMPLEX;EXIGENT;3.2km;636m;N;Peu de l’estació de Soldeu, a 1.800 m;Tosa dels Espiolets, a 2.467 m;1800;2467
9;Cabana de Siscaró;zona_nord;Vall d'Incles i Siscaró;CHALLENGING;COMPLEX;4.8km;389m;N+NE;Pàrquing de la vall d'Incles, a 1.750m;Cabana de Siscaró, a 2.145m;1750;2145
10;Camí­ de l'Obac;zona_nord;El Tarter i Soldeu;CHALLENGING;COMPLEX;4.5km;828m;N+NE;Pàrquing del Tarter, a 1.710 m;Pic d'Encampadana, a 2.491 m;1710;2491
11;Canals de la Rabassa;zona_nord;Sorteny;COMPLEX;EXIGENT;5.3km;520m;S+E+W;Pàrquing de Sorteny, a 1780m;Pàrquing de Sorteny, a 1780m;1780;2300
12;Cap de la Tosa d'Entor;zona_nord;Entor;SIMPLE;SIMPLE;2.5km;559m;S;Borda del Marticella, a 1.940m;Cap de la Tosa d'Entor, a 2.506m;1940;2506
13;Cap dels Agols;zona_centre;Cortals d'Encamp;CHALLENGING;COMPLEX;5.6km;1048m;W+N+SW;Borda de les Pardines, a 1.618 m;Cap dels Agols, a 2.673 m;1618;2673
14;Circ dels Colells;zona_nord;Grau Roig;SIMPLE;SIMPLE;3.1km;361m;NW+N;Aparcament de Grau Roig, a 2.100 m;Circ dels Colells, a 2.470 m;2100;2470
15;Circular al pas Alt de Ríbuls;zona_nord;Grau Roig;COMPLEX;EXIGENT;10.5km;842m;N+S+NE+SW;Aparcament de Grau Roig, a 2.100 m;Pas Alt de Ríbuls, a 2.640 m;2100;2640
16;Circular de Creussans i Tristaina;zona_nord;Arcalís;COMPLEX;EXIGENT;8.2km;760m;S+SE+E;Aparcament d'Arcalís, a 1.940 m;Punta de Peyreguils, a 2.702 m;1940;2702
17;Circular del Baser Negre i el Port del Rat;zona_nord;Arcalís;COMPLEX;EXIGENT;6.2km;595m;NE+E;Final carretera d'Arcalís, a 2.090 m;Port del Rat, a 2.594 m;2090;2594
18;Circular dels Colells i la portella de Joan Antoni;zona_nord;Grau Roig;COMPLEX;EXIGENT;6.6km;743m;NW+S+SE;Aparcament de Grau Roig, a 2.100 m;Portella de Joan Antoni, 2.671 m;2100;2671
19;Circular dels Pessons;zona_nord;Grau Roig;SIMPLE;SIMPLE;6.1km;467m;N+E;Aparcament de Grau Roig, a 2.100 m;Circ dels Pessons, a 2.570 m;2100;2570
20;Circular dels Pessons i Montmalús;zona_nord;Grau Roig;COMPLEX;EXIGENT;7.7km;716m;N+S+E;Aparcament de Grau Roig, a 2.100 m;Collada de Montmalús, a 2.704 m;2100;2704
21;Circular refugi de Fontverd - refugi de Perafita;zona_centre;Valls de Madriu, Perafita i Claror;CHALLENGING;COMPLEX;12.7km;1197m;S+W+N+E;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;1232;2400
22;Coll d’Arenes;zona_nord;Montaup i Vall del Riu;COMPLEX;EXIGENT;3.0km;634m;S+E+W;Pàrquing de la carretera de Montaup, situat a l’encreuament de la carretera que baixa a les bordes de Mereig, a 1.920 m (a 150 m del km 8).;Coll d’Arenes, a 2539 m;1920;2539
23;Collada d’Entinyola;zona_centre;Cortals d'Encamp;COMPLEX;EXIGENT;8.4km;777m;N+W;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Collada d’Entinyola, a 2663 m;1887;2663
24;Collada de Ferreroles;zona_nord;Sorteny;CHALLENGING;COMPLEX;5.3km;755m;N+NE;Pàrquing de Sorteny, a 1780m;Collada de Ferreroles, a 2533m;1780;2533
25;Collada de la Coma;zona_nord;Montaup i Vall del Riu;COMPLEX;EXIGENT;7.8km;809m;SE+S;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Collada de la Coma, a 2640 m;1825;2640
26;Collada de Muntaner i Pic del Cubil;zona_centre;Cortals de Sispony;CHALLENGING;COMPLEX;6.8km;1011m;SE;Començament de la carretera dels Cortals de Sispony (zona eixamplada), a 1.340 m;Pic del Cubil, a 2.358 m;1340;2358
27;Collart;zona_nord;El Tarter i Soldeu;SIMPLE;SIMPLE;2.8km;521m;N;Pàrquing del Tarter, a 1.710 m o pàrquing del Nòrdic, a 1.720 m.;Pla dels Espiolets, a 2.250 m;1720;2250
28;Coma dels Llops;zona_centre;Cortals d'Encamp;CHALLENGING;COMPLEX;4.9km;542m;N+W;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Coma dels Llops, a 2400 m;1887;2400
29;Estany de l'Estanyó;zona_nord;Sorteny;SIMPLE;SIMPLE;4.2km;558m;SW+W;Pàrquing de Sorteny, a 1780m;Estany de l'Estanyó, a 2339m;1780;2339
30;Estany de l'Isla;zona_nord;Vall d'Incles i Siscaró;CHALLENGING;COMPLEX;5.3km;613m;SE;Pàrquing de la vall d'Incles, a 1.750m;Estany de l'Isla, a 2.368m;1750;2368
31;Estany del Meligar;zona_centre;Cortals d'Encamp;CHALLENGING;COMPLEX;3.1km;386m;W+N;Carretera intermèdia del Funicamp, a 2.090 m (Carretera dels Cortals d’Encamp);Estany del Meligar, a 2470m;2090;2470
32;Estanys Forcats;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;5.8km;1065m;E+S;Edificis de Prats Sobirans, a 1.560 m;Estanys Forcats, a 2631 m;1560;2631
33;La Serra;zona_centre;Pal i Coll de la Botella;SIMPLE;SIMPLE;3.5km;466m;N;Aparcarem el vehicle al pàrquing del Pla de la Caubella, a l’embarcament del tapís, a 1.900 m.;Pic del Cubil, a 2.358 m;1900;2358
34;Mònjol de Cabana Sorda;zona_nord;Vall d'Incles i Siscaró;COMPLEX;EXIGENT;6.8km;835m;S;Pàrquing de la vall d'Incles, a 1.750m;Mònjol de Cabana Sorda, a 2.597m;1750;2597
35;Pic d'Anrodat;zona_nord;Vall d'Incles i Siscaró;COMPLEX;EXIGENT;7.5km;959m;SE;Pàrquing de la vall d'Incles, a 1.750m;Pic d'Anrodat, a 2.731m;1750;2731
36;Pic d'Enclar;zona_centre;Cortals de Sispony;CHALLENGING;COMPLEX;6.2km;1032m;NW;Començament de la carretera dels Cortals de Sispony (zona eixamplada), a 1.340 m;Pic d'Enclar, a 2.383 m;1340;2383
